Service Name,Street,Suburb,Postcode,State,LGA
Portland Pre-School Centre, Cnr Fawthrop St & Edgar St,PORTLAND,3305,VIC,GLENELG SHIRE
Powlett Reserve Children's Centre, Cnr Grey St & Simpson St,EAST MELBOURNE,3002,VIC,MELBOURNE CITY
Presbyterian Ladies College Early Learning,141 Burwood Highway,BURWOOD,3125,VIC,WHITEHORSE CITY
Preshil - The Margaret Lyttle Memorial School,395 Barkers Road,KEW,3101,VIC,BOROONDARA CITY
Princes Hill Kindergarten,260 Pigdon Street,CARLTON NORTH,3054,VIC,YARRA CITY
Prom Coast Centre for Children,30 Pioneer Street,FOSTER,3960,VIC,SOUTH GIPPSLAND SHIRE
Puckapunyal Kindergarten, Lone Pine Crescent,PUCKAPUNYAL,3662,VIC,MITCHELL SHIRE
Punt Road Kindergarten and Childcare Centre,39-41 Punt Road,COBRAM,3644,VIC,MOIRA SHIRE
Pyalong Preschool,12 High Street,PYALONG,3521,VIC,MITCHELL SHIRE
Pyramid Hill Preschool,67 Kelly Street,PYRAMID HILL,3575,VIC,LODDON SHIRE
QUALITY KIDS,1 RAGLAN STREET,WALLAN,3756,VIC,MITCHELL SHIRE
Quality Time Child Care,97 Pecks Road,SYDENHAM,3037,VIC,BRIMBANK CITY
Queens Park Kindergarten," Queens Park, Don Road",HEALESVILLE,3777,VIC,YARRA RANGES SHIRE
Queensberry Childrens Centre,228 Queensberry Street,CARLTON,3053,VIC,MELBOURNE CITY
Queenscliff Kindergarten,10 Stevens Street,QUEENSCLIFF,3225,VIC,QUEENSCLIFFE BOROUGH
QV Children's Centre," Level 8, 10 Artemis Lane",MELBOURNE,3000,VIC,MELBOURNE CITY
Rainbow,359-361 Chesterville Road,BENTLEIGH EAST,3165,VIC,GLEN EIRA CITY
Rainbow Kindergarten,46 Taverner Street,RAINBOW,3424,VIC,HINDMARSH SHIRE
Raleigh Street Child Minding Centre,28 Raleigh Street,THORNBURY,3071,VIC,DAREBIN CITY
Rangebank Preschool,40-46 Lesdon Avenue,CRANBOURNE,3977,VIC,CASEY CITY
Rangeview Preschool,3 Rupert Street,MITCHAM,3132,VIC,WHITEHORSE CITY
Ray Street Children's Centre,54 Ray Street,CASTLEMAINE,3450,VIC,MOUNT ALEXANDER SHIRE
Red Apple Early Learning Centre,487-489 Canterbury Road,VERMONT,3133,VIC,WHITEHORSE CITY
Red Apple Early Learning Centre Balwyn,243 Doncaster Road,BALWYN NORTH,3104,VIC,BOROONDARA CITY
Red Cliffs Kindergarten, Guava Street,RED CLIFFS,3496,VIC,MILDURA RURAL CITY
Red Hill Memorial Preschool,210 Arthurs Seat Road,RED HILL,3937,VIC,MORNINGTON PENINSULA SHIRE
Reema Kindergarten,42 Reema Boulevard,ENDEAVOUR HILLS,3802,VIC,CASEY CITY
Reeve Street Children's Centre,13-15 Reeve Street,SALE,3850,VIC,WELLINGTON SHIRE
Regans Road Kindergarten,7 Regans Road,HAMPTON PARK,3976,VIC,CASEY CITY
Regent Baptist Kindergarten,734 High Street,RESERVOIR,3073,VIC,DAREBIN CITY
Remus Way Kindergarten, Cnr Remus Way & Fastnet Dr,TAYLORS LAKES,3038,VIC,BRIMBANK CITY
Rene Anderson Kindergarten, Cnr Walkers and Dyson Roads,CARRUM,3197,VIC,KINGSTON CITY
Renown Kindergarten,20 Cliff Street,SOUTH YARRA,3141,VIC,STONNINGTON CITY
Research Preschool,1555 Main Rd,RESEARCH,3095,VIC,NILLUMBIK SHIRE
Rhonda Davis Kindergarten, Cnr Lake St & Mountain View Av,AVONDALE HEIGHTS,3034,VIC,MOONEE VALLEY CITY
Richmond Creche and Kindergarten Inc,14 Abinger Street,RICHMOND,3121,VIC,YARRA CITY
Richmond Kindergarten,27 Duke Street,RICHMOND,3121,VIC,YARRA CITY
Richmond Multicultural Children's Centre,16 Gleadell Street,RICHMOND,3121,VIC,YARRA CITY
Riddell Road Preschool,36 Riddell Road,WANTIRNA SOUTH,3152,VIC,KNOX CITY
Riddells Creek Kindergarten, 23-25 Mahoneys Road,RIDDELLS CREEK,3431,VIC,MACEDON RANGES SHIRE
Ride Avenue Preschool,15 Ride Avenue,BENALLA,3672,VIC,BENALLA RURAL CITY
Ringwood Childcare and Kindergarten,290 - 292 Maroondah Highway,RINGWOOD,3134,VIC,MAROONDAH CITY
Ringwood East Child Care Centre,105 Mt Dandenong Road,RINGWOOD EAST,3135,VIC,MAROONDAH CITY
Ringwood Uniting Church Kindergarten,2 Greenwood Avenue,RINGWOOD,3134,VIC,MAROONDAH CITY
Ripponlea Kindergarten,25 Carrington Grove,ST KILDA EAST,3183,VIC,GLEN EIRA CITY
Riverdene Kindergarten,28 Paramatta Road,WERRIBEE,3030,VIC,WYNDHAM CITY
Riverview Child Care Centre,134 De Kerilleau Drive,WODONGA,3690,VIC,WODONGA RURAL CITY
Riviera Preschool,31A Newton Street,SEAFORD NORTH,3198,VIC,FRANKSTON CITY
Rix Street Kindergarten,49 Rix Street,HERNE HILL,3218,VIC,GREATER GEELONG CITY
RMIT City Campus Children's Centre,97 Franklin Street,MELBOURNE,3000,VIC,MELBOURNE CITY
Robert Cochrane Kindergarten, Minona Street,HAWTHORN,3122,VIC,BOROONDARA CITY
Robina Scott Kindergarten,105 Ferguson Street,WILLIAMSTOWN,3016,VIC,HOBSONS BAY CITY
Robin's Nest Early Learning Centre,352-354 Princes Highway,NOBLE PARK,3174,VIC,GREATER DANDENONG CITY
Robin's Nest Early Learning Centre,1158 Nepean Highway,CHELTENHAM,3192,VIC,KINGSTON CITY
Robinvale Preschool Centre,3 McCartney Court,ROBINVALE,3549,VIC,SWAN HILL RURAL CITY
Rochester Kindergarten, Fraser Street,ROCHESTER,3561,VIC,CAMPASPE SHIRE
Rockbank Kindergarten,1175-1177 Leakes Road,ROCKBANK,3335,VIC,MELTON SHIRE
Rodney Neighbourhood Kindergarten, Cnr Midland Hwy & Echuca Rd,MOOROOPNA,3629,VIC,GREATER SHEPPARTON CITY
Rokewood Kindergarten,38 Aitchison Street,ROKEWOOD,3330,VIC,GOLDEN PLAINS SHIRE
Rolling Hills Kindergarten, 54 Landscape Drive,MOOROOLBARK,3138,VIC,YARRA RANGES SHIRE
Romsey Early Education Centre,10 Ewing Drive,ROMSEY,3434,VIC,MACEDON RANGES SHIRE
Romsey Kindergarten,32-48 Main Street,ROMSEY,3434,VIC,MACEDON RANGES SHIRE
Rosanna Uniting Church Kindergarten,23 Bellevue Avenue,ROSANNA,3084,VIC,BANYULE CITY
Rosanna Village Child Care Centre,32 Turnham Avenue,ROSANNA,3084,VIC,BANYULE CITY
Roscoe Avenue Children's Centre, 36 Ballarat Road,HAMILTON,3300,VIC,SOUTHERN GRAMPIANS SHIRE
Rose Garden Childcare Endeavour Hills,53 Heatherton Road,ENDEAVOUR HILLS,3802,VIC,CASEY CITY
Rose Garden Childcare Lilydale,35-37 Cave Hill Road,LILYDALE,3140,VIC,YARRA RANGES SHIRE
Rose Garden Childcare Yarrambat,553 Yan Yean Road,YARRAMBAT,3091,VIC,NILLUMBIK SHIRE
Rose Garden Epping Early Learning Centre,100 Epping Road,EPPING,3076,VIC,WHITTLESEA CITY
Rose Garden Kids,19 Link Road,SUNSHINE WEST,3020,VIC,BRIMBANK CITY
Roseberry House Early Learning Centre,2A-4 Roseberry Grove,GLEN HUNTLY,3163,VIC,GLEN EIRA CITY
Roseberry House Early Learning Centre Bentleigh,263-265 Centre Road,BENTLEIGH,3204,VIC,GLEN EIRA CITY
Rossmoyne Kindergarten,19 Beldale Court,BERWICK,3806,VIC,CASEY CITY
Rosswood Preschool,70 Outlook Drive,DANDENONG NORTH,3175,VIC,GREATER DANDENONG CITY
Rowan View Preschool,402 Forest Street,WENDOUREE,3355,VIC,BALLARAT CITY
Rowellyn Preschool, 37 Rowellyn Avenue,CARRUM DOWNS,3201,VIC,FRANKSTON CITY
Rowen Street Kindergarten,27 Rowen Street,GLEN IRIS,3146,VIC,BOROONDARA CITY
Rowville Lakes Early Learning Centre,2-4 Superior Avenue,ROWVILLE,3178,VIC,KNOX CITY
Rowville Preschool, Wellington Road,ROWVILLE,3178,VIC,KNOX CITY
Roxburgh Park Community House & Children's Centre,2 - 4 Perry Court,ROXBURGH PARK,3064,VIC,HUME CITY
Roxburgh Park Early Learning Centre,19-21  Greensted Grove,ROXBURGH PARK,3064,VIC,HUME CITY
Royal Children's Hospital Early Learning, Flemington Road,PARKVILLE,3052,VIC,MELBOURNE CITY
Royal Children's Hospital Education Institute,159 Flemington Road,NORTH MELBOURNE,3051,VIC,MELBOURNE CITY
Roycroft Kindergarten,114 Roycroft Avenue,MILL PARK,3082,VIC,WHITTLESEA CITY
Rugratz Retreat Early Learning Centre,440 Middleborough Road,BLACKBURN,3130,VIC,WHITEHORSE CITY
Rupanyup Kindergarten,55 Cromie Street,RUPANYUP,3388,VIC,YARRIAMBIACK SHIRE
Rupert Street Child Care & Kindergarten - BUC,115-117 Rupert Street,COLLINGWOOD,3066,VIC,YARRA CITY
Rushworth Kindergarten & Child Care,32 Esmonde Street,RUSHWORTH,3612,VIC,CAMPASPE SHIRE
Russell Court Kindergarten and Childrens' Centre Inc,10 Russell Court,ALTONA MEADOWS,3028,VIC,HOBSONS BAY CITY
Rutherglen Kindergarten,169 High Street,RUTHERGLEN,3685,VIC,INDIGO SHIRE
Ruyton Early Learning Kindergarten & Pre Prep,12 Selbourne Road,KEW,3101,VIC,BOROONDARA CITY
Ryan Road Childcare,1 Ryan Road,PAKENHAM,3810,VIC,CARDINIA SHIRE
Rye Preschool,25 Nelson Street,RYE,3941,VIC,MORNINGTON PENINSULA SHIRE
Sale North Kindergarten,13 Marilyn Way,SALE,3850,VIC,WELLINGTON SHIRE
Saltwater Child Care Centre,14 Nicholson Street,FOOTSCRAY,3011,VIC,MARIBYRNONG CITY
Samantha's Child Care and Kindergarten,190 Burke Road,GLEN IRIS,3146,VIC,STONNINGTON CITY
Samantha's Child Care Centre,51 Seymour Grove,CAMBERWELL,3124,VIC,BOROONDARA CITY
San Remo Kindergarten,23 Back Beach Road,SAN REMO,3925,VIC,BASS COAST SHIRE
Sanctuary Lakes Children's Services,282 Point Cook Rd,POINT COOK,3030,VIC,WYNDHAM CITY
Sandown Park Kindergarten,86-90 Gove Street,SPRINGVALE,3171,VIC,GREATER DANDENONG CITY
Sandringham Child Care Centre,11 Sandringham Road,SANDRINGHAM,3191,VIC,BAYSIDE CITY
Sandringham Private Kindergarten,247 Bay Road,HIGHETT,3190,VIC,BAYSIDE CITY
Sara Court Kindergarten,5 Sara Court,TRARALGON,3844,VIC,LATROBE CITY
Sarah Court Preschool,25 Sarah Court,MONTROSE,3765,VIC,YARRA RANGES SHIRE
Sassafras Preschool, Mt Dandenong Tourist Road,SASSAFRAS,3787,VIC,YARRA RANGES SHIRE
Save the Children Kindergarten - Mooroopna,17 O'Brien Street,MOOROOPNA,3629,VIC,GREATER SHEPPARTON CITY
Save the Children Kindergarten - Nowa Nowa,35 Wandin Way,NOWA NOWA,3887,VIC,EAST GIPPSLAND SHIRE
Scots Presbyterian Kindergarten,141 Essex Street,WEST FOOTSCRAY,3012,VIC,MARIBYRNONG CITY
Sea Lake Kindergarten,55 Mudge Street,SEA LAKE,3533,VIC,BULOKE SHIRE
Seabrook Kindergarten,15 Truganina Avenue,SEABROOK,3028,VIC,HOBSONS BAY CITY
Seaford Care for Kids,186 Seaford Road,SEAFORD,3198,VIC,FRANKSTON CITY
Seaford Heights Preschool,3 Prince Cres,SEAFORD,3198,VIC,FRANKSTON CITY
Seaford Kindergarten, McRae Street,SEAFORD,3198,VIC,FRANKSTON CITY
Seaholme Kindergarten,2 Parkside Crescent,SEAHOLME,3018,VIC,HOBSONS BAY CITY
Sebastopol Kindergarten,115 Albert Street,SEBASTOPOL,3356,VIC,BALLARAT CITY
Sebastopol South Kindergarten,187 Spencer Street,SEBASTOPOL,3356,VIC,BALLARAT CITY
Sebastopol West Kindergarten,180 Grant Street,SEBASTOPOL,3356,VIC,BALLARAT CITY
Seedlings@Whitehorse Kindergarten and Whitehorse Primary School Combined OSHC,70-86 Junction Road,NUNAWADING,3131,VIC,WHITEHORSE CITY
Selby Preschool,15 Lyons Drive,SELBY,3159,VIC,YARRA RANGES SHIRE
Sentia Early Learning,450 Flinders Street,MELBOURNE,3000,VIC,MELBOURNE CITY
Serrell Street Kindergarten,54 Serrell Street,MALVERN EAST,3145,VIC,STONNINGTON CITY
Seville Preschool, Link Road,SEVILLE,3139,VIC,YARRA RANGES SHIRE
Seymour East Preschool Centre, 55 Pollard St,SEYMOUR,3660,VIC,MITCHELL SHIRE
Seymour Preschool Centre,19-21 Victoria Street,SEYMOUR,3660,VIC,MITCHELL SHIRE
Shalimar Park Preschool,1 Milan Court,DANDENONG NORTH,3175,VIC,GREATER DANDENONG CITY
Shelford Early Discovery Centre,3 Hood Crescent,CAULFIELD,3162,VIC,GLEN EIRA CITY
Sherbourne Preschool,156 Sherbourne Road,MONTMORENCY,3094,VIC,BANYULE CITY
Sherbrooke Family and Children's Centre, Cnr Mastgully Rd and Burwood Hwy,UPWEY,3158,VIC,YARRA RANGES SHIRE
Shine Child Care,1222 Centre Road,CLARINDA,3169,VIC,KINGSTON CITY
Shirley Robertson Childrens Centre,1A Cameron Street,COBURG,3058,VIC,MORELAND CITY
Sholem Aleichem Preschool Education Centre,51 Elisabeth Street,ELSTERNWICK,3185,VIC,GLEN EIRA CITY
Showgrounds Children's Centre,320 Epsom Road,ASCOT VALE,3032,VIC,MELBOURNE CITY
Silkwood Stars Childcare Centre,17 Wentworth Avenue,ROWVILLE,3178,VIC,KNOX CITY
Silva Drive Preschool,6 Silva Drive,WODONGA,3690,VIC,WODONGA RURAL CITY
Simpson and District Kindergarten,1 Princetown Road,SIMPSON,3266,VIC,CORANGAMITE SHIRE
Skipton Kindergarten,11 Montgomery Street,SKIPTON,3361,VIC,CORANGAMITE SHIRE
Skye Children's Co-op,9-11 Skye Street,MACLEOD,3085,VIC,BANYULE CITY
Small Ones Live & Learn Child Care Centre,28 Joy Parade,NOBLE PARK,3174,VIC,GREATER DANDENONG CITY
Smart Start Early Learning and Development Centre,18-24 Grange Road,ALPHINGTON,3078,VIC,DAREBIN CITY
Smartie Pants Early Learning & Development,13-19 Old Diamond Creek Road,DIAMOND CREEK,3089,VIC,NILLUMBIK SHIRE
Smith Street Children's Centre and Kindergarten,200 Smith Street,THORNBURY,3071,VIC,DAREBIN CITY
Snuggle Potts Children's Centre,43 Glen Iris Road,CAMBERWELL,3124,VIC,BOROONDARA CITY
Snuggles Early Learning Centre,552 - 554 Highbury Road,GLEN WAVERLEY,3150,VIC,MONASH CITY
Somers Parade Kindergarten,4 Somers Parade,ALTONA,3018,VIC,HOBSONS BAY CITY
Somers Preschool, 14 Ocean View Crescent,SOMERS,3927,VIC,MORNINGTON PENINSULA SHIRE
Somerville Childcare and Kindergarten,14-24 Gomms Road,SOMERVILLE,3912,VIC,MORNINGTON PENINSULA SHIRE
Somerville Preschool,37 Eramosa Road,SOMERVILLE,3912,VIC,BASS COAST SHIRE
Sorrento Preschool,20 Darling Road,SORRENTO,3943,VIC,MORNINGTON PENINSULA SHIRE
South Castlemaine Kindergarten,9 Etty Street,CASTLEMAINE,3450,VIC,MOUNT ALEXANDER SHIRE
South Kingsville Preschool,43 Paxton St,SOUTH KINGSVILLE,3015,VIC,HOBSONS BAY CITY
South Melbourne Child Care,5-11 Carter Street,ALBERT PARK,3206,VIC,PORT PHILLIP CITY
South Melbourne Mission Free Kindergarten,185/332 Park Street,SOUTH MELBOURNE,3205,VIC,PORT PHILLIP CITY
South Morang Preschool,75 Reid Street,SOUTH MORANG,3752,VIC,WHITTLESEA CITY
South Morang Preschool Inc - Riverside, 8 Doreen Rogen Way,SOUTH MORANG,3752,VIC,WHITTLESEA CITY
South Mornington Preschool, 1 Downward Street,MORNINGTON SOUTH,3931,VIC,MORNINGTON PENINSULA SHIRE
Southern Cross Montessori,21 Henty Street,TORQUAY,3228,VIC,SURF COAST SHIRE
Southern Rise Children's Centre,15 Cartwright Street,WODONGA,3690,VIC,WODONGA RURAL CITY
Springside Kindergarten, 1A Shearman Court,KEYSBOROUGH,3173,VIC,GREATER DANDENONG CITY
Springvale 1 World of Learning,67 Balmoral Avenue,SPRINGVALE,3171,VIC,GREATER DANDENONG CITY
Springvale Service for Children Inc,26-28 Lightwood Road,SPRINGVALE,3171,VIC,GREATER DANDENONG CITY
Springvalley Kindergarten,41-43 Clarke Road,SPRINGVALE SOUTH,3172,VIC,GREATER DANDENONG CITY
St Aidans Preschool,5 James Street,STRATHMORE,3041,VIC,MOONEE VALLEY CITY
St Albans Anglican Kindergarten,18 Alexina Street,ST ALBANS,3021,VIC,BRIMBANK CITY
St Albans East Preschool, Cnr Harmon Av & Station Av,ST ALBANS,3021,VIC,BRIMBANK CITY
St Albans Main Road East Early Learning Centre,252 - 256 Main Road East,ST ALBANS,3021,VIC,BRIMBANK CITY
St Albans North Preschool,42 Fox Street,ST ALBANS NORTH,3021,VIC,BRIMBANK CITY
St Albans Park Kindergarten,43-53 Homestead Drive,ST ALBANS PARK,3219,VIC,GREATER GEELONG CITY
St Albans Sweet Sounds Early Learning Centre,27-29 Elizabeth Street,ST ALBANS,3021,VIC,BRIMBANK CITY
St Albans West Preschool, Cnr Andrew Rd & Stevens Rd,ST ALBANS,3021,VIC,BRIMBANK CITY
St Alipius Kindergarten,78 Victoria Street,BALLARAT,3350,VIC,BALLARAT CITY
St Andrews Kindergarten,275 Barkly Street,ARARAT,3377,VIC,ARARAT RURAL CITY
St Andrews Kindergarten,29 St Kinnord Street,ABERFELDIE,3040,VIC,MOONEE VALLEY CITY
St Andrews Sunbury Kindergarten,2 Barkly Street,SUNBURY,3429,VIC,HUME CITY
St Andrew's Uniting Care Kindergarten,210 Sutton Street,WARRAGUL,3820,VIC,BAW BAW SHIRE
St Andrews Uniting Church Kindergarten,85-87 Gillies Street,FAIRFIELD,3078,VIC,DAREBIN CITY
St Andrews Uniting Church Kindergarten - BUC,1 Mountain View Rd,MONTMORENCY,3094,VIC,BANYULE CITY
St Arnaud Children's Precinct,5 Walker Street,ST ARNAUD,3478,VIC,NORTHERN GRAMPIANS SHIRE
St Augustines Anglican Kindergarten,24 Rostrevor Parade,MONT ALBERT NORTH,3129,VIC,WHITEHORSE CITY
St Brendan's Kindergarten,25 Bryant Street,FLEMINGTON,3031,VIC,MOONEE VALLEY CITY
St Catherines Early Learning Centre,27 Heyington Place,TOORAK,3142,VIC,STONNINGTON CITY
St Columba's Community Kindergarten,131 Raymond Street,SALE,3850,VIC,WELLINGTON SHIRE
St Columba's Day Kindergarten,37 Banool Road,BALWYN,3103,VIC,BOROONDARA CITY
St Dominic Savio Early Learning Centre,19 Donald Street,CLAYTON,3168,VIC,MONASH CITY
St Dunstan's Kindergarten,163B Wattle Valley Road,CAMBERWELL,3124,VIC,BOROONDARA CITY
St Faith's Child Care and Early Learning Centre,56 Mountain View Road,MONTMORENCY,3094,VIC,BANYULE CITY
St Helena Preschool,22-28 Wallowa Road,ELTHAM NORTH,3095,VIC,BANYULE CITY
St Hellier Street Child Day Care,95 St Hellier Street,HEIDELBERG HEIGHTS,3081,VIC,BANYULE CITY
St James Kindergarten,1201 Riversdale Road,BOX HILL,3128,VIC,WHITEHORSE CITY
St John The Baptist (Sandringham) Kindergarten,16 D'arcy Avenue,SANDRINGHAM,3191,VIC,BAYSIDE CITY
St John's Anglican Kindergarten,86 Clendon Road,TOORAK,3142,VIC,STONNINGTON CITY
St Johns Kindergarten,9 Toorak Avenue,CROYDON,3136,VIC,MAROONDAH CITY
St Johns Lutheran Kindergarten,33 Aberdeen Street,NEWTOWN,3220,VIC,GREATER GEELONG CITY
St Johns Preschool,2 Carmichael Road,OAKLEIGH,3166,VIC,MONASH CITY
St Justine Child Care Centre,975 Cranbourne - Frankston Rd,CRANBOURNE,3977,VIC,CASEY CITY
St Leonard's College Early Learning Centre-Brighton,163 South Road,BRIGHTON EAST,3187,VIC,BAYSIDE CITY
St Linus Kindergarten,11 Delta Avenue,MERLYNSTON,3058,VIC,MORELAND CITY
St Luke's Anglican Kindergarten, Luke Street,MOE,3825,VIC,LATROBE CITY
St Lukes Highton Kindergarten,172 Barrabool Road,HIGHTON,3216,VIC,GREATER GEELONG CITY
St Lukes Uniting Kindergarten,94 Essex Road,MOUNT WAVERLEY,3149,VIC,MONASH CITY
St Margaret's Preschool,174 Deakin Avenue,MILDURA,3500,VIC,MILDURA RURAL CITY
St Margaret's School Pre-prep,27-47 Gloucester Avenue,BERWICK,3806,VIC,CASEY CITY
St Mary's Kindergarten, Cnr Queensberry St & Howard St,NORTH MELBOURNE,3051,VIC,MELBOURNE CITY
St Marys Preschool, Cnr Hughes and Dendy Streets,BRIGHTON EAST,3187,VIC,BAYSIDE CITY
St Mel's Kindergarten,202 Archer Street,SHEPPARTON,3630,VIC,GREATER SHEPPARTON CITY
St Michael's Grammar School Kindergarten,8 - 12 Marlton Crescent,ST KILDA,3182,VIC,PORT PHILLIP CITY
St Paul's Early Learning Centre - Warragul,150 Bowen Street,WARRAGUL,3820,VIC,BAW BAW SHIRE
St Pauls Lutheran Kindergarten,303 Torquay Road,GROVEDALE,3216,VIC,GREATER GEELONG CITY
St Paul's Traralgon Campus,46 Cross's Road,TRARALGON,3844,VIC,LATROBE CITY
St Peter's Anglican Kindergarten,33  Bank Street,BOX HILL,3128,VIC,WHITEHORSE CITY
St Peter's Early Learning Centre,581 Toorak Road,TOORAK,3142,VIC,STONNINGTON CITY
St Peters Kindergarten,77A Were Street,BRIGHTON,3186,VIC,BAYSIDE CITY
St Scholastica's Kindergarten,13 Pheasant Street,BURWOOD,3125,VIC,WHITEHORSE CITY
St Vincent's Early Learning Centre,91-101 Victoria Parade,FITZROY,3065,VIC,YARRA CITY
Stanhope & District Kindergarten,1 Godley Place,STANHOPE,3623,VIC,CAMPASPE SHIRE
Stanley Street Preschool,24 Stanley Street,WODONGA,3690,VIC,WODONGA RURAL CITY
Starfish Early Learning Centre,168 Canterbury Road,BLACKBURN SOUTH,3130,VIC,WHITEHORSE CITY
Starfish Early Learning Centre (Camberwell),164-168 Warrigal Road,CAMBERWELL,3124,VIC,BOROONDARA CITY
Station House Early Years Learning,16-18 Station Street,CRANBOURNE,3977,VIC,CASEY CITY
Stepping Stones Kindergarten & Childcare Centre,32A Arthur Street,ST ALBANS,3021,VIC,BRIMBANK CITY
Stewarts Lane Preschool,9 Stewarts Lane,SUNBURY,3429,VIC,HUME CITY
Stonnington Children's Centre,110 Union Street,WINDSOR,3181,VIC,STONNINGTON CITY
Stratford Kindergarten,15 Dixon Street,STRATFORD,3862,VIC,WELLINGTON SHIRE
Strathaird Kindergarten,106-108 Strathaird Drive,NARRE WARREN,3805,VIC,CASEY CITY
Strathcona Early Learning Centre,34 Scott Street,CANTERBURY,3126,VIC,BOROONDARA CITY
Strathfieldsaye Preschool,26 Club Court,STRATHFIELDSAYE,3551,VIC,GREATER BENDIGO CITY
Strathmerton Preschool, Butt Street,STRATHMERTON,3641,VIC,MOIRA SHIRE
Strathmore Children's Centre, Loeman Street,STRATHMORE,3041,VIC,MOONEE VALLEY CITY
Strathmore Heights Kindergarten,148 Mascoma Street,STRATHMORE,3041,VIC,MOONEE VALLEY CITY
Strong Drive Kindergarten,101 Strong Drive,HAMPTON PARK,3976,VIC,CASEY CITY
Studley Park Kindergarten,31 Stawell Street,KEW,3101,VIC,BOROONDARA CITY
Summerhill Park Kindergarten,46 Audrey Crescent,GLEN IRIS,3146,VIC,BOROONDARA CITY
Sundowner Kindergarten,19-21 Jacobs Drive,CLARINDA,3169,VIC,KINGSTON CITY
Sunningdale Children's Centre,13A Dornoch Drive,SUNBURY,3429,VIC,HUME CITY
Sunny Stars Berwick,1 - 3 Michelle Drive,BERWICK,3806,VIC,CASEY CITY
Sunnyside Kindergarten,5 Cooinda Place,MALVERN EAST,3145,VIC,STONNINGTON CITY
Sunrise Kindergarten and Long Day Care Centre,199 Clauscen Street,FITZROY NORTH,3068,VIC,YARRA CITY
Sunshine Heights Kindergarten, Glengala Road,SUNSHINE,3020,VIC,BRIMBANK CITY
Sunshine Kindergarten,34 Devonshire Road,SUNSHINE,3020,VIC,BRIMBANK CITY
Sunshine Park Estate Kindergarten,14 A Southwold Street,ST ALBANS,3021,VIC,BRIMBANK CITY
Sunshine South Kindergarten,31 Ardoyne Street,SUNSHINE,3020,VIC,BRIMBANK CITY
Surfside Kindergarten Inc,1 John Dory Drive,OCEAN GROVE,3226,VIC,GREATER GEELONG CITY
Surrey Hills Baptist Church Child Care Centre,277-281 Elgar Road,SURREY HILLS,3127,VIC,WHITEHORSE CITY
Surrey Hills Child Care Centre,1A Beatrice Avenue,SURREY HILLS,3127,VIC,WHITEHORSE CITY
Surrey Hills Day Care Centre,6 Junction Street,SURREY HILLS,3127,VIC,BOROONDARA CITY
Surrey Hills Preschool Centre,18 Verdun Street,SURREY HILLS,3127,VIC,BOROONDARA CITY
Sutherland House,1076 Malvern Road,ARMADALE,3143,VIC,STONNINGTON CITY
Sutherland St Childcare and Kindergarten,65 Sutherland St,KILMORE,3764,VIC,MITCHELL SHIRE
Swan Childcare,3-5 Purnell Rd,CORIO,3214,VIC,GREATER GEELONG CITY
Swan Hill North Preschool,64 Pye Street,SWAN HILL,3585,VIC,SWAN HILL RURAL CITY
Swan Hill South Kindergarten,5 Willick Street,SWAN HILL,3585,VIC,SWAN HILL RURAL CITY
Swan Reach & District Kindergarten,38 Swan Street,SWAN REACH,3903,VIC,EAST GIPPSLAND SHIRE
Swanston Street Children's Centre,856 Swanston Street,CARLTON,3053,VIC,MELBOURNE CITY
Sweetland Road Early Learning Centre,24 Sweetland Road,BOX HILL,3128,VIC,WHITEHORSE CITY
Swifts Creek Kindergarten/Early Childhood Development Centre,6846 Great Alpine Road,SWIFTS CREEK,3896,VIC,EAST GIPPSLAND SHIRE
Swinburne Avenue Children's Centre,8 Swinburne Avenue,GISBORNE,3437,VIC,MACEDON RANGES SHIRE
Swinburne Children's Centre, Melba Avenue,LILYDALE,3140,VIC,YARRA RANGES SHIRE
Swinburne Children's Centre Croydon,10-52 Norton Road,CROYDON,3136,VIC,MAROONDAH CITY
Swinburne Children's Centre Wantirna,369 Stud Road,WANTIRNA SOUTH,3152,VIC,KNOX CITY
Swinburne Community Child Care,32-36 Park Street,HAWTHORN,3122,VIC,BOROONDARA CITY
Swinburne Prahran Community Children's Centre,131-133 Union Street,WINDSOR,3181,VIC,STONNINGTON CITY
Sydenham Central Early Learning Kinders,550 Melton Highway,SYDENHAM,3037,VIC,BRIMBANK CITY
Sydenham Kindergarten,7 Community Hub,SYDENHAM,3037,VIC,BRIMBANK CITY
Syndal Child Care & Early Learning Centre,6 Huxtable Street,SYNDAL,3149,VIC,MONASH CITY
Syndal Kindergarten,2 Matthew Street,GLEN WAVERLEY,3150,VIC,MONASH CITY
Szalmuk Family Early Learning Centre,15 Mayfield Avenue,ST KILDA EAST,3183,VIC,GLEN EIRA CITY
T L Stone Memorial Kindergarten,4 Lake Street,MARYBOROUGH,3465,VIC,CENTRAL GOLDFIELDS SHIRE
TAFE Kids Inc, 453 Benetook Avenue,MILDURA,3500,VIC,MILDURA RURAL CITY
Talbingo Kindergarten,1A Fleetwood Drive,NARRE WARREN,3805,VIC,CASEY CITY
Tallangatta & District Kindergarten, Banool Road,TALLANGATTA,3700,VIC,TOWONG SHIRE
Tally Ho Kindergarten,24 Martin Place,GLEN WAVERLEY,3150,VIC,MONASH CITY
Tallygaroopna Children's Centre, Victoria Street,TALLYGAROOPNA,3634,VIC,GREATER SHEPPARTON CITY
